,STOXX Europe 600,STOXX Europe Banks,STOXX Europe Financials,STOXX Europe Auto & Parts,STOXX Europe Insurance,STOXX Europe Technology,STOXX Europe Utilities,STOXX Europe Chemicals,STOXX Europe Basic Resource,STOXX Europe Con & Mat,STOXX Europe Health Care,STOXX Europe Inds Gds & Svs,STOXX Europe Media,STOXX Europe Telecoms
1987-01-01,82.76,103.62,108.12,166.13,110.29,112.06,66.19,94.91,72.03,83.28,42.9,80.86,71.48,67.89
1987-02-01,83.03,102.08,105.84,148.67,105.48,106.04,66.08,94.13,72.67,90.01,47.49,82.46,77.74,68.03
1987-03-01,86.22,98.86,104.25,144.4,105.3,108.33,67.77,98.81,75.4,96.46,54.2,90.17,83.26,72.75
1987-04-01,88.66,99.99,106.46,151.33,108.12,115.18,67.9,102.82,80.26,97.76,53.05,90.53,85.47,72.04
1987-05-01,91.14,99.01,106.76,154.33,108.5,118.75,68.42,102.98,85.58,102.03,54.31,93.53,86.86,80.77
1987-06-01,92.9,97.14,104.42,151.78,104.37,117.2,70.03,106.71,88.27,105.27,56.8,96.09,89.34,83.72
1987-07-01,94.65,99.3,107.98,157.58,109.05,115.96,70.29,110.61,90.02,107.16,56.99,96.19,97.52,78.25
1987-08-01,99.43,105.37,112.71,166.29,112.54,119.82,74.23,120.79,107.92,114.74,60.37,98.2,100.95,81.17
1987-09-01,98.84,108.25,113.28,161.35,110.61,117.03,77.18,123.77,104.25,112.44,60.32,98.2,102.63,79.99
1987-10-01,100.6,109.81,115.38,158.75,113.5,116.45,74.28,126.54,108.05,118.34,62.99,101.73,109.08,80.56
1987-11-01,75.69,85.69,89.22,118.5,87.38,83.81,65.25,92.92,74.54,88.06,43.79,75.14,72.55,65.64
1987-12-01,68.96,78.21,82.25,100.25,80.97,71.35,59.62,84.9,69.5,78.92,40.33,68.53,65.69,60.62
1988-01-01,71.1,79.57,84.21,95.75,83.22,69.55,60.59,86.72,71.69,86.55,39.75,71.15,73.23,62.66
1988-02-01,71.79,79.85,84.14,91.38,83.18,65.44,62.65,83.1,71.17,87.5,41.97,72.97,76.41,66.07
1988-03-01,76.08,84.59,90.89,107.36,89.96,74.06,65.12,89.36,75.62,91.32,43.72,77.43,77.96,68.45
1988-04-01,76.06,82.51,89.59,103.33,89.48,74.39,65.76,87.18,78.54,93.2,42.8,77.33,77.96,69.68
1988-05-01,78.5,82.86,90.26,103.74,91.47,76.1,66.67,89.6,83.07,97.03,43.8,80.69,79.79,71.54
1988-06-01,79.39,86.62,91.57,103.76,88.77,78.59,64.77,92.26,88.03,97.39,45.18,81.61,82.21,70.49
1988-07-01,82.32,89.41,95.11,110.62,93.74,84.73,68.25,95.88,91.97,99.97,47.21,84.94,84.1,75.5
1988-08-01,84.42,90.95,97.07,113.01,96.41,85.38,68.94,98.05,94.68,103.67,48.06,87.64,87.79,76.34
1988-09-01,79.62,87.17,92.5,105.36,91.7,82.79,67.48,94.0,90.86,97.55,45.22,82.82,79.9,69.97
1988-10-01,84.03,91.88,98.47,112.0,98.84,87.77,69.25,98.28,99.72,103.85,48.7,87.92,84.02,74.77
1988-11-01,87.42,96.08,102.09,121.61,101.12,91.93,69.69,101.49,102.66,109.66,50.29,92.49,86.85,77.48
1988-12-01,85.03,94.72,100.51,117.84,98.76,87.32,67.98,97.61,102.63,104.52,47.68,91.7,82.94,76.88
1989-01-01,87.04,96.28,102.49,120.43,101.86,92.51,68.57,101.24,104.13,107.41,47.79,94.83,84.75,78.04
1989-02-01,94.12,99.51,106.04,117.27,104.7,96.03,74.32,106.63,116.5,118.12,54.4,105.95,95.93,87.26
1989-03-01,92.12,96.77,102.57,118.53,100.51,94.55,70.9,104.79,118.09,116.97,54.04,107.57,95.96,83.61
1989-04-01,95.31,99.81,105.11,121.87,102.34,99.53,73.34,108.11,121.73,124.33,56.49,111.21,98.07,87.86
1989-05-01,97.04,100.29,105.69,121.34,103.2,99.88,76.06,109.39,123.1,128.52,58.39,114.05,98.95,87.37
1989-06-01,97.87,99.28,104.27,125.23,99.75,104.88,78.69,112.73,122.19,131.17,57.94,115.51,100.38,89.48
1989-07-01,99.82,102.02,107.2,133.94,104.17,106.14,82.82,109.89,123.88,130.0,59.51,119.1,98.99,86.19
1989-08-01,105.49,110.72,116.57,142.28,114.21,110.66,84.32,110.0,127.41,133.93,64.19,122.91,106.78,88.04
1989-09-01,109.6,113.05,120.61,149.72,120.32,113.52,86.99,113.87,135.31,137.57,71.15,126.9,111.5,94.47
1989-10-01,107.17,111.33,119.36,142.37,119.18,115.47,88.49,110.34,132.67,138.16,66.12,121.66,108.98,91.99
1989-11-01,99.63,106.02,112.74,131.79,112.23,107.86,83.24,101.61,122.83,122.31,62.49,111.86,101.93,83.21
1989-12-01,103.75,111.32,118.15,133.69,117.88,116.8,90.96,103.42,127.66,125.15,65.17,116.15,106.3,86.51
1990-01-01,108.16,116.71,123.56,145.8,123.58,122.92,95.73,109.51,133.36,132.33,66.24,119.72,108.93,91.67
1990-02-01,106.77,115.03,121.12,144.25,120.13,123.01,94.05,108.64,130.52,130.22,63.13,120.46,107.69,90.87
1990-03-01,102.67,111.04,114.6,139.96,110.16,117.16,91.82,105.43,128.9,124.88,61.1,115.86,104.93,90.02
1990-04-01,104.28,109.6,115.25,149.01,113.58,123.36,94.38,107.83,136.17,130.1,62.67,119.38,106.81,85.05
